county,r2,rmse,mae,n_samples
Alameda,1.0,8.662211785013672e-11,7.362952759570402e-11,23
Alpine,1.0,8.15036190036068e-14,7.318590178329032e-14,5
Amador,1.0,2.242885293134311e-12,1.8332002582610585e-12,32
Butte,1.0,1.3928595953943588e-11,1.2846612662542611e-11,34
Calaveras,1.0,2.606893937776601e-12,2.2578540344565065e-12,34
Colusa,1.0,1.3982184604464274e-12,1.2580786086105304e-12,34
Contra Costa,1.0,6.616985301899021e-11,5.6709669639959054e-11,34
Del Norte,1.0,1.6782652411195519e-12,1.5116796703296131e-12,32
El Dorado,1.0,1.1290623893452921e-11,1.0335471041103386e-11,34
Fresno,1.0,6.109265021558565e-11,5.304494098869755e-11,34
Glenn,1.0,1.5436824105171858e-12,1.3450156021623543e-12,34
Humboldt,1.0,8.244689107055576e-12,7.51366645669226e-12,33
Imperial,1.0,1.1677984470117008e-11,1.0766812278341283e-11,34
Inyo,1.0,9.713439173853572e-13,7.962384960123789e-13,33
Kern,1.0,5.026213860612761e-11,4.277300082749742e-11,34
Kings,1.0,8.581462734756784e-12,7.319426110959337e-12,34
Lake,1.0,3.4817668806181294e-12,2.957529646022629e-12,34
Lassen,1.0,1.7354466742424592e-12,1.5013350040295763e-12,34
Los Angeles,1.0,5.640461561451239e-10,4.819251925629728e-10,34
Madera,1.0,9.280081764298035e-12,7.827673150185387e-12,34
Marin,1.0,1.5606159306299805e-11,1.3800893088266479e-11,33
Mariposa,1.0,9.238373672291278e-13,8.104366850816672e-13,34
Mendocino,1.0,4.6400716041485924e-12,3.912164709832081e-12,34
Merced,1.0,1.5229693776747588e-11,1.268611359752386e-11,34
Modoc,1.0,4.947692783127119e-13,4.3859865234646184e-13,33
Mono,1.0,6.073692001473526e-13,4.856768582077862e-13,34
Monterey,1.0,2.2769780716969725e-11,1.8765433651424246e-11,32
Napa,1.0,7.4931654035577e-12,6.1477018761886e-12,33
Nevada,1.0,6.279815127974364e-12,5.545786052607582e-12,32
Orange,1.0,1.825707259213174e-10,1.562190899515853e-10,34
Placer,1.0,2.5354518808875218e-11,2.2102058745290645e-11,34
Plumas,1.0,9.376884018621234e-13,8.041671903543722e-13,34
Riverside,1.0,1.505901715968101e-10,1.308602376786225e-10,34
Sacramento,1.0,9.708591258446644e-11,8.747199043521986e-11,34
San Benito,1.0,3.990856191170011e-12,3.502557720982141e-12,34
San Bernardino,1.0,1.346630409427574e-10,1.1823431123048067e-10,34
San Diego,1.0,1.9736435095400872e-10,1.72969356009906e-10,22
San Francisco,1.0,4.735875392421599e-11,4.0954011423951564e-11,34
San Joaquin,1.0,4.4882516021306695e-11,3.846627591616091e-11,34
San Luis Obispo,1.0,1.6821223216276706e-11,1.4913038124659045e-11,34
San Mateo,1.0,3.748762568807103e-11,3.124381799031706e-11,34
Santa Barbara,1.0,2.500307805766569e-11,2.0624129854909637e-11,34
Santa Clara,1.0,1.042663152168217e-10,8.86757334228605e-11,34
Santa Cruz,1.0,1.4054538271640037e-11,1.240189650321982e-11,34
Shasta,1.0,1.0949961390465141e-11,9.763693121974082e-12,34
Sierra,1.0,2.1292213652659872e-13,1.8227394902068126e-13,18
Siskiyou,1.0,2.487389463043471e-12,2.1714186004828663e-12,30
Solano,1.0,2.6276521158089298e-11,2.2015121751738823e-11,34
Sonoma,1.0,2.5480931290692816e-11,2.126946984550587e-11,34
Stanislaus,1.0,3.150939188318192e-11,2.7458715040291495e-11,34
Sutter,1.0,5.1431700547715354e-12,4.475583302658325e-12,34
Tehama,1.0,3.4965200861921113e-12,2.9611868512802175e-12,32
Trinity,1.0,9.873517696802456e-13,8.76488845660201e-13,31
Tulare,1.0,2.826507208656016e-11,2.503952600818593e-11,32
Tuolumne,1.0,3.310677589240092e-12,2.9879468075382793e-12,31
Ventura,1.0,4.763350016556172e-11,3.9710143670056236e-11,34
Yolo,1.0,1.0802194051790092e-11,9.066525308298878e-12,32
Yuba,1.0,4.782111136628292e-12,4.163349799593121e-12,33
