term,source,features,r2,mae,smape,n_predictions,r2_lift_vs_base,mae_improvement
food stamps,AllTerms,4,0.7501534632862383,0.0006868216206528753,11.678428067013712,1102,0.007732977209485847,6.0357080753449316e-06
apply for CalFresh,AllTerms,4,0.749854007520705,0.0006820003858110431,11.532294746504318,1102,0.007433521443952484,1.0856942917177124e-05
monthly_average_CalFresh,Original,4,0.745755914731754,0.0006906519184756624,11.683092109513623,1102,0.003335428655001471,2.2054102525578606e-06
SNAP benefits,AllTerms,4,0.7457346296864479,0.000688506336381219,11.639189716129847,1102,0.003314143609695397,4.3509923470013085e-06
food pantry near me,AllTerms,4,0.7437601617766464,0.0006954545760175783,11.849172050679762,1102,0.0013396756998939052,-2.5972472893580605e-06
Supplemental Nutrition Assistance Program,AllTerms,4,0.743267222941669,0.0006881634073319618,11.67296016013518,1102,0.0008467368649165419,4.693921396258503e-06
CalFresh,AllTerms,4,0.7413123792101065,0.0006924509652154354,11.710974663409951,1102,-0.0011081068666459748,4.063635127848648e-07
food bank,AllTerms,4,0.7388533679437168,0.0006970226541996308,11.864438146635658,1102,-0.003567118133035674,-4.16532547141055e-06
monthly_average_FoodBank,Original,4,0.7375223372597479,0.0007005976291792172,11.887383446235779,1102,-0.004898148817004566,-7.740300450996876e-06
EBT card,AllTerms,4,0.7242887737183563,0.0007129793205606325,12.0484051767105,1102,-0.018131712358396168,-2.0121991832412213e-05
