target_month,r2,rmse,mae,smape
2023-02-01,0.7653500316248614,0.0009590295073923417,0.0007369205946627165,12.440311568157124
2023-03-01,-0.23716363078385339,0.0017109986550543797,0.0012137867780955451,21.04472670335938
2023-04-01,0.7403668185348546,0.0008499622176257294,0.0006053629548665597,10.695500390184968
2023-05-01,0.6713335817545113,0.000994483087180948,0.0006503034257326181,11.057235647288833
2023-06-01,-7.802466419390562,0.00489400104395843,0.0011423412987386149,11.249876631850235
2023-07-01,0.09124369443198177,0.0023412048638449725,0.0015616808216478858,23.467787516757227
2023-08-01,0.752094241049185,0.000960432110701354,0.000648034892015894,11.884992767210486
2023-09-01,0.7842948763769076,0.0010016640725394384,0.0006741958189151712,10.209114547094371
2023-10-01,0.7855782027821026,0.000849902845934017,0.0006491958004983232,10.656989952516419
2023-11-01,0.438607519901111,0.0010886522593441784,0.0007327813811496031,12.808054855866487
2023-12-01,0.5375667476321593,0.00134064668018225,0.001023254027014902,14.482009206310225
2024-01-01,0.49080560103310666,0.0012028470494349428,0.0006565078877342404,10.07951851850979
2024-02-01,0.4353723424071868,0.00113330595658747,0.0008691180532874086,14.993594145840685
2024-03-01,0.017216072274695238,0.0015177026252244355,0.000721597055219376,11.462318909404042
2024-04-01,-1.9666644025389362,0.0027530360167139826,0.0008848964366694527,11.877186124433804
2024-05-01,0.7375670955442626,0.0007126570812649054,0.0005816197500702844,10.533915572299286
2024-06-01,0.7760221210209173,0.000824936599264202,0.000715691646497175,12.342203924824659
2024-07-01,0.629131617668333,0.001428072223448268,0.000841848694905541,12.18459246312064
2024-08-01,0.6260578301750322,0.0012256528120193548,0.0007714548245065878,11.254307940233316
2024-09-01,0.6286811641669594,0.0013196472646189131,0.0006420954582995895,8.656087818210086
2024-10-01,0.6785356136237193,0.0009110606432802288,0.0007760404061891379,13.979502455206028
2024-11-01,0.5831290712811876,0.0009542146338549362,0.0005694591737407784,9.361840285404943
2024-12-01,0.2646487337792244,0.0017163706573260157,0.0009116212824476387,11.976787183360493
2025-01-01,0.6562297307716337,0.0008605587123574575,0.000707556049582551,13.272249424847551
2025-02-01,0.6576313334827357,0.0007868273390670899,0.000624470422076277,11.556988126895346
