prediction_month,r2,rmse,mae,smape
2023-02-01,-0.04782237201511452,0.00203345614928528,0.000694548291361266,9.105283617317873
2023-03-01,0.7908224784957278,0.0007842340900619067,0.0005110975485811026,10.051127903964964
2023-04-01,0.8611852848552279,0.0006190039640112372,0.000401897737781284,6.960804987125442
2023-05-01,0.8933929406967123,0.0005410691626595686,0.0004480462270799911,8.407414916517029
2023-06-01,0.9570476185674623,0.0003421796903635672,0.00026991141717775345,5.529464921412649
2023-07-01,0.615199153938953,0.0014562545206327304,0.0009758771660041867,14.037737555062769
2023-08-01,0.886418507593024,0.0006613619756177289,0.00044018243843844495,8.040799485017699
2023-09-01,0.8462181276143536,0.0008294807916743015,0.0005370329533514829,7.765569567146574
2023-10-01,0.914483430626623,0.000541646296874996,0.00039947554424215275,6.6870335265408585
2023-11-01,0.8022126422736243,0.0006461824328803824,0.00043444075827953695,8.34026625618978
2023-12-01,0.8877912099539719,0.0006603941979551934,0.0005683575238709009,8.421665545996108
2024-01-01,0.9082498490441642,0.0005129730144237737,0.00038278796791886354,6.572060928131697
2024-02-01,0.8691183555576483,0.0005456390813128989,0.0004330753140752206,8.158516612347874
2024-03-01,0.9597968506834798,0.0003041135952532953,0.00024166142257035612,4.707438723020401
2024-04-01,0.9407101323625526,0.00039197930860221267,0.0002657582645218334,5.229430027448628
2024-05-01,0.953074425575935,0.00030135351408243144,0.0002671434866225997,5.229217405655271
2024-06-01,0.9453878134782334,0.00040734537584836993,0.00036444820155012784,6.532369779230304
2024-07-01,0.8742371418661694,0.0008235905776055505,0.00048664199966588333,6.663256940346159
2024-08-01,0.9137852229514385,0.0005885130517040749,0.000372060800042391,5.565234736469579
2024-09-01,0.8800326313343104,0.0007500944263815169,0.000380076777256913,5.024068619917031
2024-10-01,0.8360706357880177,0.0006505927661630999,0.0004372617491154824,8.112708056474697
2024-11-01,0.9145798573408728,0.00043194197917372006,0.0002863282924532764,5.254198310225375
2024-12-01,0.9683992269624571,0.0003558053814731797,0.00028120287993502115,4.3891053234860085
2025-01-01,0.9092468714287151,0.0004410100888001604,0.00033527237850461633,6.994955148903912
2025-02-01,0.9249676189404398,0.0003683467141428616,0.0002683847019263693,5.351802482181605
