"Time","food bank near me"
"2020-08-30","47"
"2020-09-06","0"
"2020-09-13","0"
"2020-09-20","0"
"2020-09-27","0"
"2020-10-04","0"
"2020-10-11","0"
"2020-10-18","0"
"2020-10-25","0"
"2020-11-01","0"
"2020-11-08","0"
"2020-11-15","0"
"2020-11-22","100"
"2020-11-29","0"
"2020-12-06","0"
"2020-12-13","0"
"2020-12-20","66"
"2020-12-27","0"
"2021-01-03","0"
"2021-01-10","81"
"2021-01-17","63"
"2021-01-24","64"
"2021-01-31","0"
"2021-02-07","0"
"2021-02-14","0"
"2021-02-21","0"
"2021-02-28","0"
"2021-03-07","0"
"2021-03-14","0"
"2021-03-21","0"
"2021-03-28","0"
"2021-04-04","0"
"2021-04-11","0"
"2021-04-18","0"
"2021-04-25","0"
"2021-05-02","0"
"2021-05-09","0"
"2021-05-16","0"
"2021-05-23","0"
"2021-05-30","0"
"2021-06-06","0"
"2021-06-13","0"
"2021-06-20","0"
"2021-06-27","0"
"2021-07-04","0"
"2021-07-11","0"
"2021-07-18","0"
"2021-07-25","0"
"2021-08-01","0"
"2021-08-08","0"
"2021-08-15","0"
"2021-08-22","0"
"2021-08-29","0"
